InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
4.61971e-07 0 0 1 3 83
4.94529e-07 0 0 1 3 88
5.27882e-07 0 0 1 3 82
5.60441e-07 0 0 1 3 88
5.93794e-07 0 0 1 3 88
6.26353e-07 0 0 1 3 90
6.59706e-07 0 0 1 3 89
6.92377e-07 0 0 1 3 88
7.25936e-07 0 0 1 3 85
7.58696e-07 0 0 1 3 88
7.91456e-07 0 0 1 3 89
8.24216e-07 0 0 1 3 84
8.57775e-07 0 0 1 3 88
8.90534e-07 0 0 1 3 90
9.23294e-07 0 0 1 3 86
9.56853e-07 0 0 1 3 88
9.89613e-07 0 0 1 3 93
1.02237e-06 0 0 1 3 91
1.05593e-06 0 0 1 3 90
1.08869e-06 0 0 1 3 89
1.12145e-06 0 0 1 3 86
1.15421e-06 0 0 1 3 90
1.18762e-06 0 0 1 3 90
1.22097e-06 0 0 1 3 93
1.25353e-06 0 0 1 3 93
1.28688e-06 0 0 1 3 91
1.31944e-06 0 0 1 3 88
1.35297e-06 0 0 1 3 92
1.38573e-06 0 0 1 3 93
1.41849e-06 0 0 1 3 90
1.45125e-06 0 0 1 3 90
1.4848e-06 0 0 1 3 94
1.51756e-06 0 0 1 3 95
1.55032e-06 0 0 1 3 91
1.58388e-06 0 0 1 3 95
1.61664e-06 0 0 1 3 80
1.6494e-06 0 0 1 3 94
1.68235e-06 0 0 1 3 92
1.71531e-06 0 0 1 3 92
1.74827e-06 0 0 1 3 80
1.78124e-06 0 0 1 3 95
1.8142e-06 0 0 1 3 92
1.84756e-06 0 0 1 3 109
1.88091e-06 0 0 1 3 97
1.91347e-06 0 0 1 3 93
1.94682e-06 0 0 1 3 81
1.9794e-06 0 0 1 3 97
2.01296e-06 0 0 1 3 101
2.04572e-06 0 0 1 3 111
2.07848e-06 0 0 1 3 97
2.11124e-06 0 0 1 3 99
2.14479e-06 0 0 1 3 80
2.17755e-06 0 0 1 3 100
2.21031e-06 0 0 1 3 99
2.24387e-06 0 0 1 3 100
2.27663e-06 0 0 1 3 99
2.30943e-06 0 0 1 3 85
2.34239e-06 0 0 1 3 103
2.37535e-06 0 0 1 3 100
2.40831e-06 0 0 1 3 102
2.44127e-06 0 0 1 3 99
2.47499e-06 0 0 1 3 99
2.50775e-06 0 0 1 3 103
2.54051e-06 0 0 1 3 101
2.57327e-06 0 0 1 3 99
2.60683e-06 0 0 1 3 99
2.63959e-06 0 0 1 3 105
2.67235e-06 0 0 1 3 102
2.70591e-06 0 0 1 3 98
2.73867e-06 0 0 1 3 103
2.77143e-06 0 0 1 3 102
2.80499e-06 0 0 1 3 104
2.83775e-06 0 0 1 3 103
2.8705e-06 0 0 1 3 106
2.90326e-06 0 0 1 3 102
2.93682e-06 0 0 1 3 105
2.96958e-06 0 0 1 3 101
3.00234e-06 0 0 1 3 107
3.0359e-06 0 0 1 3 104
3.06866e-06 0 0 1 3 106
3.10142e-06 0 0 1 3 102
3.13498e-06 0 0 1 3 108
3.16774e-06 0 0 1 3 105
3.2005e-06 0 0 1 3 103
3.23326e-06 0 0 1 3 107
3.26682e-06 0 0 1 3 108
-nan 0 0 1 3 95
0 0 0 2 3 65
3.22549e-08 0 0 2 3 81
6.54314e-08 0 0 2 3 80
9.86078e-08 0 0 2 3 82
1.31784e-07 0 0 2 3 81
1.64961e-07 0 0 2 3 83
1.97529e-07 0 0 2 3 84
2.30882e-07 0 0 2 3 81
2.63441e-07 0 0 2 3 82
2.96794e-07 0 0 2 3 81
3.29353e-07 0 0 2 3 84
3.62706e-07 0 0 2 3 64
3.95265e-07 0 0 2 3 82
4.28618e-07 0 0 2 3 81
4.61971e-07 0 0 2 3 83
4.94529e-07 0 0 2 3 83
5.27882e-07 0 0 2 3 85
5.60441e-07 0 0 2 3 82
5.93794e-07 0 0 2 3 83
6.26353e-07 0 0 2 3 81
6.59706e-07 0 0 2 3 81
6.92377e-07 0 0 2 3 83
7.25936e-07 0 0 2 3 82
7.58696e-07 0 0 2 3 83
7.91456e-07 0 0 2 3 82
8.24216e-07 0 0 2 3 81
8.57775e-07 0 0 2 3 83
8.90534e-07 0 0 2 3 83
9.23294e-07 0 0 2 3 81
9.56853e-07 0 0 2 3 84
9.89613e-07 0 0 2 3 80
1.02237e-06 0 0 2 3 83
1.05593e-06 0 0 2 3 85
1.08869e-06 0 0 2 3 81
1.12145e-06 0 0 2 3 80
1.15421e-06 0 0 2 3 81
1.18762e-06 0 0 2 3 83
1.22097e-06 0 0 2 3 82
1.25353e-06 0 0 2 3 82
1.28688e-06 0 0 2 3 81
1.31944e-06 0 0 2 3 83
1.35297e-06 0 0 2 3 84
1.38573e-06 0 0 2 3 81
1.41849e-06 0 0 2 3 85
1.45125e-06 0 0 2 3 80
1.4848e-06 0 0 2 3 82
1.51756e-06 0 0 2 3 84
1.55032e-06 0 0 2 3 82
1.58388e-06 0 0 2 3 84
1.61664e-06 0 0 2 3 82
