InputCurrent BandgapControl RampGain OpAmpGain ResistorIdx ADCvalue
2.09441e-07 0 0 1 3 56
2.19765e-07 0 0 1 3 77
2.29294e-07 0 0 1 3 52
2.39618e-07 0 0 1 3 34
2.49941e-07 0 0 1 3 74
2.59471e-07 0 0 1 3 55
2.69794e-07 0 0 1 3 52
2.79324e-07 0 0 1 3 61
2.89647e-07 0 0 1 3 78
2.99971e-07 0 0 1 3 67
3.095e-07 0 0 1 3 52
3.19824e-07 0 0 1 3 58
3.29353e-07 0 0 1 3 50
3.39676e-07 0 0 1 3 49
3.5e-07 0 0 1 3 61
3.59529e-07 0 0 1 3 56
3.69853e-07 0 0 1 3 52
3.79382e-07 0 0 1 3 56
3.89706e-07 0 0 1 3 50
3.99235e-07 0 0 1 3 50
4.09559e-07 0 0 1 3 60
4.19882e-07 0 0 1 3 55
4.29412e-07 0 0 1 3 63
4.39735e-07 0 0 1 3 57
4.49265e-07 0 0 1 3 58
4.59588e-07 0 0 1 3 56
4.69912e-07 0 0 1 3 62
4.79441e-07 0 0 1 3 73
4.89765e-07 0 0 1 3 71
4.99294e-07 0 0 1 3 53
5.09618e-07 0 0 1 3 77
5.19941e-07 0 0 1 3 76
5.29471e-07 0 0 1 3 65
5.39794e-07 0 0 1 3 73
5.49324e-07 0 0 1 3 64
5.59647e-07 0 0 1 3 60
5.69971e-07 0 0 1 3 62
5.795e-07 0 0 1 3 58
5.89824e-07 0 0 1 3 67
5.99353e-07 0 0 1 3 61
6.09676e-07 0 0 1 3 48
6.2e-07 0 0 1 3 55
6.29529e-07 0 0 1 3 61
6.39853e-07 0 0 1 3 61
6.49382e-07 0 0 1 3 51
6.59706e-07 0 0 1 3 61
6.69235e-07 0 0 1 3 54
6.79593e-07 0 0 1 3 53
6.8998e-07 0 0 1 3 48
6.99569e-07 0 0 1 3 54
7.09956e-07 0 0 1 3 53
7.19544e-07 0 0 1 3 75
7.29931e-07 0 0 1 3 79
7.3952e-07 0 0 1 3 53
7.49907e-07 0 0 1 3 63
7.59495e-07 0 0 1 3 58
7.69882e-07 0 0 1 3 54
7.79471e-07 0 0 1 3 51
7.89858e-07 0 0 1 3 75
7.99446e-07 0 0 1 3 56
8.09833e-07 0 0 1 3 52
8.19422e-07 0 0 1 3 62
8.29809e-07 0 0 1 3 71
8.39397e-07 0 0 1 3 74
8.49784e-07 0 0 1 3 48
8.59373e-07 0 0 1 3 73
8.6976e-07 0 0 1 3 55
8.79348e-07 0 0 1 3 62
8.89735e-07 0 0 1 3 48
8.99324e-07 0 0 1 3 52
9.09711e-07 0 0 1 3 59
9.19299e-07 0 0 1 3 54
9.29686e-07 0 0 1 3 62
9.39275e-07 0 0 1 3 57
9.49662e-07 0 0 1 3 53
9.5925e-07 0 0 1 3 50
9.69637e-07 0 0 1 3 54
9.79225e-07 0 0 1 3 55
9.89613e-07 0 0 1 3 58
1e-06 0 0 1 3 51
1.00959e-06 0 0 1 3 57
1.01998e-06 0 0 1 3 68
1.02956e-06 0 0 1 3 60
1.03995e-06 0 0 1 3 62
1.04954e-06 0 0 1 3 61
1.05993e-06 0 0 1 3 56
1.06951e-06 0 0 1 3 69
1.0799e-06 0 0 1 3 52
1.08949e-06 0 0 1 3 61
1.09988e-06 0 0 1 3 73
1.10947e-06 0 0 1 3 50
1.11985e-06 0 0 1 3 58
1.12944e-06 0 0 1 3 57
1.13983e-06 0 0 1 3 63
1.14942e-06 0 0 1 3 61
1.1598e-06 0 0 1 3 62
1.16935e-06 0 0 1 3 51
1.17968e-06 0 0 1 3 53
1.18921e-06 0 0 1 3 57
1.19953e-06 0 0 1 3 63
1.20985e-06 0 0 1 3 58
1.21938e-06 0 0 1 3 62
1.22971e-06 0 0 1 3 63
1.23924e-06 0 0 1 3 69
1.24956e-06 0 0 1 3 55
1.25988e-06 0 0 1 3 67
1.26941e-06 0 0 1 3 53
