timestr I2C_SuccessRate
6376680758 0.8
6383863556 0.82
6391067208 0.83
6398290686 0.83
6405466356 0.75
6412664422 0.81
6419850971 0.79
6427046485 0.83
6434239890 0.79
6441466231 0.77
6448682812 0.72
6455892600 0.8
6463081231 0.81
6470305433 0.83
6477504991 0.8
6484719264 0.84
6491931504 0.85
6499145087 0.77
6506337446 0.77
6513548811 0.76
6520755208 0.76
6527957534 0.81
6535144447 0.79
6542330818 0.77
6549535768 0.81
6556757175 0.8
6563969601 0.79
6571165913 0.76
6578372382 0.85
6585577164 0.76
6592781294 0.83
6599978818 0.74
6607179231 0.83
6614386692 0.75
6621609210 0.79
6628815065 0.79
6636025913 0.78
6643220781 0.82
6650433686 0.88
6657628331 0.85
6664842816 0.79
6672050945 0.74
6679270462 0.84
6686485989 0.79
6693702085 0.8
6700907228 0.76
6708109386 0.82
6715303459 0.8
6722524692 0.78
6729741057 0.79
6736943824 0.77
6744137380 0.78
6751342383 0.81
6758549874 0.85
6765747512 0.82
6772961358 0.74
6780148439 0.79
6787348601 0.81
6794561078 0.83
6801750451 0.82
6808955972 0.79
6816158686 0.74
6823387514 0.77
6830600771 0.76
6837815297 0.83
6845011903 0.77
6852225664 0.82
6859419360 0.74
6866626911 0.8
6873847154 0.78
6881063340 0.75
6888274534 0.85
6895488058 0.8
6902700555 0.8
6909912062 0.78
6917102604 0.77
6924301460 0.79
6931502750 0.74
6938705520 0.69
6945898923 0.77
6953104144 0.81
6960306837 0.79
6967519592 0.78
6974720924 0.84
6981913690 0.72
6989132994 0.82
6996346601 0.8
7003559206 0.75
7010773535 0.79
7017991907 0.83
7025178658 0.7
7032374993 0.81
7039589243 0.8
7046782057 0.78
7053944533 0.76
7061164967 0.88
7068383503 0.82
7075599071 0.86
7082807056 0.75
7089991634 0.86
7097210818 0.88
7104416589 0.76
7111626598 0.71
7118828835 0.8
7126041461 0.83
7133257686 0.8
7140454601 0.78
7147662729 0.81
7154874368 0.79
7162090765 0.89
7169279895 0.78
7176491208 0.78
7183692758 0.77
7190905207 0.73
7198116447 0.83
7205292057 0.78
7212503982 0.79
7219700534 0.83
7226909988 0.85
7234113602 0.8
7241321991 0.82
7248530750 0.84
7255732241 0.76
7262928979 0.78
7270144391 0.71
7277345056 0.79
7284554899 0.78
7291740839 0.81
7298940599 0.76
7306137969 0.78
7313325304 0.8
7320521535 0.85
7327738131 0.82
7334943597 0.83
7342134362 0.79
7349329003 0.84
7356536382 0.77
7363756686 0.86
7370960446 0.82
7378150815 0.81
