timestr I2C_SuccessRate
3159297327 0.37
3165631198 0.26
3171955242 0.32
3178428504 0.44
3184627504 0.3
3191020425 0.36
3197364240 0.35
3203681719 0.37
3209879964 0.27
3216228808 0.37
3222398720 0.24
3228700875 0.28
3234887807 0.27
3241142720 0.27
3247343923 0.3
3253586243 0.32
3259903655 0.27
3266075990 0.27
3272325428 0.27
3278652510 0.31
3284926873 0.26
3291141023 0.25
3297497934 0.35
3303778351 0.28
3310108793 0.36
3316413788 0.31
3322644856 0.26
3328925023 0.27
3335213812 0.31
3341442414 0.27
3347675203 0.3
3354051780 0.39
3360328872 0.28
3366519104 0.26
3372917811 0.38
3379195288 0.33
3385666112 0.41
3391963236 0.35
3398252237 0.29
3404673660 0.39
3411028584 0.35
3417321567 0.26
3423594870 0.26
3429777509 0.25
3436123635 0.37
3442432471 0.33
3448751633 0.33
3455089263 0.29
3461445235 0.35
3467678962 0.33
3473938177 0.29
3480102273 0.23
3486463872 0.32
3492800782 0.35
3499187808 0.33
3505486656 0.28
3511800958 0.29
3518119960 0.34
3524502760 0.33
3530788990 0.29
3537105785 0.33
3543475659 0.33
3549674960 0.28
3555987143 0.28
3562268933 0.27
3568499355 0.28
3574864503 0.33
3581039894 0.27
3587314460 0.29
3593656351 0.33
3599957567 0.28
3606275325 0.32
3612715808 0.38
3619025672 0.33
3625337872 0.31
3631678800 0.36
3637922946 0.3
3644312570 0.4
3650598842 0.33
3656805364 0.28
3663090041 0.3
3669347112 0.28
3675786026 0.39
3682210261 0.42
3688476265 0.23
3694821263 0.32
3701133262 0.3
3707409263 0.26
3713684416 0.32
3719896355 0.29
3726331142 0.35
3732580634 0.27
3738847784 0.29
3745073330 0.27
3751386242 0.34
3757725111 0.3
3763894296 0.24
3770255732 0.34
3776457043 0.25
3782781771 0.36
3789197264 0.34
3795521099 0.32
3801711721 0.26
3808034960 0.26
3814300119 0.31
3820565366 0.32
3826810806 0.3
3833204560 0.36
3839485444 0.3
3845847503 0.29
3852224241 0.35
3858495504 0.31
3864948110 0.41
3871301180 0.34
3877642266 0.34
3884036667 0.38
3890331800 0.37
3896676725 0.29
3902995721 0.29
3909265960 0.26
3915647963 0.34
3921941783 0.28
3928313654 0.36
3934594185 0.26
3940924503 0.34
3947092271 0.22
3953419213 0.34
3959945836 0.38
3966135872 0.26
3972435936 0.3
3978728111 0.33
3984947589 0.28
3991193061 0.27
3997552417 0.3
4003927112 0.34
4010227173 0.3
4016559044 0.31
4022845351 0.27
4029146654 0.28
4035467969 0.36
4041784872 0.28
4048095415 0.34
4054213719 0.23
4060675178 0.45
4066917959 0.25
4073121457 0.27
4079448097 0.32
4085807091 0.35
4092014478 0.22
4098253808 0.26
4104624418 0.36
4110920418 0.3
4117213339 0.3
4123349365 0.23
4129544351 0.29
4135953719 0.4
4142234044 0.32
4148447960 0.26
4154770112 0.33
4161052114 0.29
