time coil
1.49696e-05 0
1.4976e-05 -1.5748
1.49824e-05 1.5748
1.49888e-05 -1.5748
1.49952e-05 -1.5748
1.50016e-05 1.5748
1.5008e-05 -1.5748
1.50144e-05 0
1.50208e-05 0
1.50272e-05 -1.5748
1.50336e-05 0
1.504e-05 -1.5748
1.50464e-05 -1.5748
1.50528e-05 -1.5748
1.50592e-05 0
1.50656e-05 0
1.5072e-05 -1.5748
1.50784e-05 -1.5748
1.50848e-05 -1.5748
1.50912e-05 -1.5748
1.50976e-05 -3.14961
1.5104e-05 -1.5748
1.51104e-05 -1.5748
1.51168e-05 -3.14961
1.51232e-05 -1.5748
1.51296e-05 -1.5748
1.5136e-05 -1.5748
1.51424e-05 0
1.51488e-05 -1.5748
1.51552e-05 -1.5748
1.51616e-05 -1.5748
1.5168e-05 0
1.51744e-05 -1.5748
1.51808e-05 -1.5748
1.51872e-05 1.5748
1.51936e-05 0
1.52e-05 -1.5748
1.52064e-05 0
1.52128e-05 -1.5748
1.52192e-05 -1.5748
1.52256e-05 1.5748
1.5232e-05 -3.14961
1.52384e-05 -1.5748
1.52448e-05 0
1.52512e-05 0
1.52576e-05 -1.5748
1.5264e-05 0
1.52704e-05 -1.5748
1.52768e-05 -1.5748
1.52832e-05 -1.5748
1.52896e-05 -1.5748
1.5296e-05 -3.14961
1.53024e-05 0
1.53088e-05 -1.5748
1.53152e-05 -1.5748
1.53216e-05 -1.5748
1.5328e-05 0
1.53344e-05 -1.5748
1.53408e-05 -3.14961
1.53472e-05 -1.5748
1.53536e-05 -1.5748
1.536e-05 -3.14961
1.53664e-05 -1.5748
1.53728e-05 -1.5748
1.53792e-05 -1.5748
1.53856e-05 -1.5748
1.5392e-05 -1.5748
1.53984e-05 -3.14961
1.54048e-05 0
1.54112e-05 -1.5748
1.54176e-05 -1.5748
1.5424e-05 0
1.54304e-05 0
1.54368e-05 -1.5748
1.54432e-05 0
1.54496e-05 0
1.5456e-05 0
1.54624e-05 1.5748
1.54688e-05 0
1.54752e-05 1.5748
1.54816e-05 0
1.5488e-05 -1.5748
1.54944e-05 0
1.55008e-05 -3.14961
1.55072e-05 1.5748
1.55136e-05 0
1.552e-05 -1.5748
1.55264e-05 0
1.55328e-05 -1.5748
1.55392e-05 -1.5748
1.55456e-05 0
1.5552e-05 -1.5748
1.55584e-05 -1.5748
1.55648e-05 1.5748
1.55712e-05 0
1.55776e-05 -1.5748
1.5584e-05 0
1.55904e-05 -3.14961
1.55968e-05 -1.5748
1.56032e-05 0
1.56096e-05 -1.5748
1.5616e-05 -1.5748
1.56224e-05 0
1.56288e-05 -3.14961
1.56352e-05 0
1.56416e-05 -1.5748
1.5648e-05 -1.5748
1.56544e-05 0
1.56608e-05 0
1.56672e-05 -1.5748
