BandgapControl Vin VinADC
9 10.3 813
9 10.4 821
9 10.5 829
9 10.6 837
9 10.7 845
9 10.8 852
9 10.9 860
9 11 868
9 11.1 876
9 11.2 883
9 11.3 891
9 11.4 899
9 11.5 907
9 11.6 915
9 11.7 923
9 11.8 931
9 11.9 939
9 12 947
10 6 490
10 6.1 498
10 6.2 505
10 6.3 513
10 6.4 521
10 6.5 529
10 6.6 537
10 6.7 545
10 6.8 553
10 6.9 561
10 7 569
10 7.1 577
10 7.2 585
10 7.3 592
10 7.4 601
10 7.5 609
10 7.6 617
10 7.7 625
10 7.8 632
10 7.9 640
10 8 648
10 8.1 656
10 8.2 664
10 8.3 672
10 8.4 680
10 8.5 689
10 8.6 696
10 8.7 704
10 8.8 712
10 8.9 720
10 9 728
10 9.1 736
10 9.2 744
10 9.3 752
10 9.4 760
10 9.5 0
10 9.6 776
10 9.7 784
10 9.8 792
10 9.9 800
10 10 808
10 10.1 816
10 10.2 824
10 10.3 832
10 10.4 840
10 10.5 847
10 10.6 856
10 10.7 864
10 10.8 871
10 10.9 880
10 11 888
10 11.1 896
10 11.2 903
10 11.3 911
10 11.4 919
10 11.5 928
10 11.6 936
10 11.7 944
10 11.8 955
10 11.9 955
10 12 955
11 6 500
11 6.1 508
11 6.2 516
11 6.3 525
11 6.4 533
11 6.5 541
11 6.6 0
11 6.7 557
11 6.8 565
11 6.9 573
11 7 581
11 7.1 590
11 7.2 598
11 7.3 606
11 7.4 614
11 7.5 622
11 7.6 630
11 7.7 638
11 7.8 647
11 7.9 655
11 8 663
11 8.1 671
11 8.2 679
11 8.3 687
11 8.4 695
11 8.5 704
11 8.6 712
11 8.7 720
11 8.8 728
11 8.9 736
11 9 744
11 9.1 752
11 9.2 760
11 9.3 769
11 9.4 777
11 9.5 785
11 9.6 793
11 9.7 801
11 9.8 809
11 9.9 817
11 10 825
11 10.1 834
11 10.2 842
11 10.3 850
11 10.4 858
11 10.5 867
11 10.6 875
11 10.7 883
11 10.8 891
11 10.9 899
11 11 907
11 11.1 916
11 11.2 924
11 11.3 932
11 11.4 941
11 11.5 956
11 11.6 953
11 11.7 953
11 11.8 953
11 11.9 953
11 12 953
12 6 0
12 6.1 520
12 6.2 528
12 6.3 536
12 6.4 545
12 6.5 553
12 6.6 561
12 6.7 570
12 6.8 578
12 6.9 587
12 7 595
12 7.1 603
12 7.2 612
12 7.3 620
12 7.4 629
12 7.5 637
12 7.6 645
12 7.7 654
12 7.8 661
12 7.9 670
12 8 678
12 8.1 687
12 8.2 695
12 8.3 703
12 8.4 712
12 8.5 720
12 8.6 728
12 8.7 737
12 8.8 745
12 8.9 753
12 9 762
12 9.1 770
12 9.2 779
12 9.3 787
12 9.4 795
12 9.5 803
12 9.6 812
12 9.7 821
12 9.8 829
12 9.9 837
12 10 846
12 10.1 854
12 10.2 862
12 10.3 870
12 10.4 879
12 10.5 887
12 10.6 896
12 10.7 904
12 10.8 913
12 10.9 920
12 11 929
12 11.1 937
12 11.2 947
12 11.3 949
12 11.4 949
12 11.5 949
12 11.6 949
12 11.7 949
12 11.8 949
12 11.9 949
12 12 949
13 6 524
13 6.1 532
13 6.2 540
13 6.3 549
13 6.4 557
13 6.5 566
13 6.6 574
13 6.7 583
13 6.8 592
13 6.9 600
13 7 609
13 7.1 617
13 7.2 626
13 7.3 635
13 7.4 643
13 7.5 652
13 7.6 660
13 7.7 669
13 7.8 677
13 7.9 0
13 8 694
13 8.1 703
13 8.2 711
13 8.3 720
13 8.4 728
13 8.5 737
13 8.6 745
13 8.7 754
13 8.8 762
13 8.9 771
13 9 779
13 9.1 788
13 9.2 797
13 9.3 805
13 9.4 814
13 9.5 822
13 9.6 831
13 9.7 839
13 9.8 848
13 9.9 856
13 10 865
13 10.1 873
13 10.2 882
13 10.3 891
13 10.4 899
13 10.5 908
13 10.6 917
13 10.7 925
13 10.8 934
13 10.9 943
13 11 1015
13 11.1 1015
13 11.2 1015
13 11.3 1015
13 11.4 1015
13 11.5 1015
13 11.6 1015
13 11.7 1015
13 11.8 1015
13 11.9 1015
13 12 1015
14 6 536
14 6.1 545
14 6.2 553
14 6.3 562
14 6.4 571
14 6.5 579
14 6.6 588
14 6.7 597
14 6.8 606
14 6.9 615
14 7 624
14 7.1 632
14 7.2 0
14 7.3 650
14 7.4 658
14 7.5 667
14 7.6 676
14 7.7 685
14 7.8 693
14 7.9 702
14 8 711
14 8.1 719
14 8.2 728
14 8.3 737
14 8.4 746
14 8.5 754
14 8.6 763
14 8.7 772
14 8.8 780
14 8.9 789
14 9 798
14 9.1 806
14 9.2 815
14 9.3 824
14 9.4 833
14 9.5 842
14 9.6 850
14 9.7 859
14 9.8 868
14 9.9 877
14 10 885
14 10.1 894
14 10.2 903
14 10.3 912
14 10.4 921
14 10.5 930
14 10.6 938
14 10.7 977
14 10.8 977
14 10.9 977
14 11 977
14 11.1 977
14 11.2 977
14 11.3 977
14 11.4 977
14 11.5 977
14 11.6 977
14 11.7 977
14 11.8 977
14 11.9 977
14 12 977
15 6 550
15 6.1 558
15 6.2 567
15 6.3 576
15 6.4 585
15 6.5 594
15 6.6 603
15 6.7 612
15 6.8 622
15 6.9 630
15 7 639
15 7.1 648
15 7.2 657
15 7.3 666
15 7.4 675
15 7.5 684
15 7.6 693
15 7.7 702
15 7.8 711
15 7.9 720
15 8 728
15 8.1 738
15 8.2 747
15 8.3 756
15 8.4 764
15 8.5 774
15 8.6 782
15 8.7 791
15 8.8 800
15 8.9 809
15 9 818
15 9.1 827
15 9.2 836
15 9.3 845
15 9.4 854
15 9.5 863
15 9.6 872
15 9.7 881
15 9.8 890
15 9.9 899
15 10 908
15 10.1 917
15 10.2 926
15 10.3 935
15 10.4 947
15 10.5 949
15 10.6 949
15 10.7 949
15 10.8 949
15 10.9 949
15 11 949
15 11.1 949
15 11.2 949
15 11.3 949
15 11.4 949
15 11.5 949
15 11.6 949
15 11.7 949
15 11.8 949
15 11.9 949
15 12 949
