AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_A04,LEFT,1,0,5,4.664162920390612e-06,-0.0003569173476026366,-0.12562297513910373,69.76726910137064
AMAC_A04,LEFT,1,0,6,5.494705686834913e-06,-0.00041967697773585263,-0.1262228712825411,70.05758785537557
AMAC_A04,LEFT,1,0,7,5.57672541361723e-06,-0.0004261133286654488,-0.1258046543789527,70.09706940781246
AMAC_A04,LEFT,1,0,8,9.961907296093692e-06,-0.0007561246483352018,-0.1276996188202264,71.3392691270201
AMAC_A04,LEFT,1,0,9,1.0021600694029562e-05,-0.0007610640473866101,-0.12667999533017207,71.64428960430733
AMAC_A04,LEFT,1,0,10,1.1925297547494974e-05,-0.0008988810037469056,-0.4544818371456073,230.74413343236608
AMAC_A04,LEFT,1,0,11,1.2031079662625279e-05,-0.0009070878135053686,-0.4532120022757982,230.9379702990215
AMAC_A04,LEFT,1,0,12,1.574587939018241e-05,-0.0011894025011984079,-0.410084839270743,170.73182010391736
AMAC_A04,LEFT,1,0,13,1.577955671257931e-05,-0.0011920990657266605,-0.4081456267667774,170.50188392243504
AMAC_A04,LEFT,1,0,14,1.6671775018288844e-05,-0.0012598854823713708,-0.38659578230646924,161.23147228393324
AMAC_A04,LEFT,1,0,15,1.6765423804743486e-05,-0.0012670636583170295,-0.3898999131885893,160.006922928089
AMAC_A04,LEFT,1,1,0,4.608239197769615e-08,-1.6261457087650293e-06,-0.27336637929240665,1.5779244230684775e-12
AMAC_A04,LEFT,1,1,1,3.459646239928431e-08,-2.5900713087229e-06,-0.328427265215239,47268.15751677104
AMAC_A04,LEFT,1,1,2,4.5653396951399515e-08,-5.5655208326098795e-06,-0.2908955677920923,93827.59816784464
AMAC_A04,LEFT,1,1,3,3.2139053530179006e-08,-3.4122439585037526e-06,-0.3886393114778137,151247.26969424335
AMAC_A04,LEFT,1,1,4,2.2307490957601727e-06,-0.00034328167162091884,-0.1614926068370331,104.56966697729189
AMAC_A04,LEFT,1,1,5,2.254295184600989e-06,-0.0003473996951009102,-0.1277576114405442,73.30553195013816
AMAC_A04,LEFT,1,1,6,2.66748650637557e-06,-0.00041014072638565185,-0.15210237162188786,94.85299572140104
