AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_B06,LEFT,0,2,0,3.11610365404694e-08,-3.5542635427989885e-06,-0.10696805171107636,29.000957941845837
AMAC_B06,LEFT,0,2,1,9.494809290391838e-08,-1.1132882591285085e-05,-0.1273288311827022,1090.0697440213626
AMAC_B06,LEFT,0,2,2,7.300405866947816e-07,-8.635164696899727e-05,-0.12375108504511909,93.46515254168646
AMAC_B06,LEFT,0,2,3,8.007143110630145e-07,-9.471054232905353e-05,-0.12379443133783888,55.774011787722856
AMAC_B06,LEFT,0,2,4,3.3971403336851515e-06,-0.00040120410260270097,-0.12519480610176373,62.42492755705794
AMAC_B06,LEFT,0,2,5,3.4739362006345983e-06,-0.0004105022555303053,-0.12540183566965704,62.050302112303186
AMAC_B06,LEFT,0,2,6,4.097679726086714e-06,-0.00048429242063133515,-0.12562130148152584,62.825748864585044
AMAC_B06,LEFT,0,2,7,4.1610661849603355e-06,-0.0004916006572377993,-0.12600629292932866,63.38678323829829
AMAC_B06,LEFT,0,2,8,7.425812076873777e-06,-0.0008760299388270129,-0.12756896282000282,64.57012732440643
AMAC_B06,LEFT,0,2,9,7.519474155783881e-06,-0.0008878058253152507,-0.12727943936460065,64.10110190656826
AMAC_B06,LEFT,0,2,10,8.928730468915896e-06,-0.0010477079214474784,-0.4497934838364144,210.93456920366884
AMAC_B06,LEFT,0,2,11,8.954235109177243e-06,-0.0010501915101031557,-0.4437397287911496,209.19483238024577
AMAC_B06,LEFT,0,2,12,1.1642051483181507e-05,-0.0013675088575702834,-0.4098750923790885,159.23362793012132
AMAC_B06,LEFT,0,2,13,1.1693766952300435e-05,-0.0013738034389187482,-0.3990385375029735,156.5127000049141
AMAC_B06,LEFT,0,2,14,1.2346252985926607e-05,-0.0014511393008821147,-0.3863458531232953,145.97975157929721
AMAC_B06,LEFT,0,2,15,1.2380366981359936e-05,-0.0014552197606283136,-0.3825576463646106,145.13884576463784
AMAC_B06,LEFT,0,3,0,3.259432068723878e-08,-3.522323119920042e-06,-0.10455528431060697,7.836548250594877e-14
AMAC_B06,LEFT,0,3,1,9.547514860420821e-08,-1.0659845714681233e-05,-0.11836287938185851,1057.8747074131911
AMAC_B06,LEFT,0,3,2,7.652779630249234e-07,-8.635617846651701e-05,-0.12468450006246555,94.60447908280938
AMAC_B06,LEFT,0,3,3,8.400413902448729e-07,-9.4937737961161e-05,-0.12604063477852315,57.50034267596452
AMAC_B06,LEFT,0,3,4,3.56845792276098e-06,-0.0004026486642404896,-0.1250547033847257,61.98223322125843
AMAC_B06,LEFT,0,3,5,3.6369918628773453e-06,-0.0004104846847555916,-0.12532860672243235,62.376334435595105
AMAC_B06,LEFT,0,3,6,4.289202240574199e-06,-0.00048381735195027545,-0.1260048624132545,63.36644072833218
AMAC_B06,LEFT,0,3,7,4.365820842557683e-06,-0.0004926305846857287,-0.1256954776269861,63.02807537103146
AMAC_B06,LEFT,0,3,8,7.823600104276555e-06,-0.0008823345540090616,-0.1269535697273715,63.58869970433089
AMAC_B06,LEFT,0,3,9,7.89687412909513e-06,-0.0008906117246995972,-0.12747264309162618,63.82005702517624
AMAC_B06,LEFT,0,3,10,9.384320504121226e-06,-0.0010523609433153057,-0.4506608648446458,209.98640494390241
AMAC_B06,LEFT,0,3,11,9.44099277192098e-06,-0.0010586946990981591,-0.44481114366216895,207.4174171762739
AMAC_B06,LEFT,0,3,12,1.2248731729587562e-05,-0.0013771622698715794,-0.3946985977903222,153.5376768343656
AMAC_B06,LEFT,0,3,13,1.2375535372567938e-05,-0.0013914770835745589,-0.39820465468647637,153.20539934354642
