AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K06,LEFT,1,0,11,1.0272229592203875e-05,-0.0008938178005808542,-0.12235141511460436,68.56762113418293
AMAC_K06,LEFT,1,0,12,1.342229545536181e-05,-0.0011667560174323816,-0.1232574592181847,70.91699742974625
AMAC_K06,LEFT,1,0,13,1.3461849286043536e-05,-0.001169880951141919,-0.12499153759815711,72.39540898025547
AMAC_K06,LEFT,1,0,14,1.4258501911352352e-05,-0.0012397608765001497,-0.1240119396886906,71.25065814267546
AMAC_K06,LEFT,1,0,15,1.4364420148443384e-05,-0.0012491443875520644,-0.12440729793337241,70.99224429113885
AMAC_K06,LEFT,1,1,0,1.78630776759909e-08,-0.013977783000918807,14265.306854397579,20750.337884784163
AMAC_K06,LEFT,1,1,1,5.332113158613062e-08,-9.83530395532793e-06,-0.11749968946870078,962.3963618118809
AMAC_K06,LEFT,1,1,2,3.5363111542885455e-08,-5.010756862879747e-06,-0.30520341953389574,107290.11704398847
AMAC_K06,LEFT,1,1,3,5.3187558423640026e-08,-8.428576361637607e-06,-0.2480714698454656,75202.67162865496
AMAC_K06,LEFT,1,1,4,1.9612731527816223e-06,-0.0003664918703013304,-0.19172634514313958,153.75892936771575
AMAC_K06,LEFT,1,1,5,1.999475646280944e-06,-0.0003735818892667212,-0.19044308631838786,152.96522401242842
AMAC_K06,LEFT,1,1,6,2.3573760032854005e-06,-0.00044099348786754507,-0.1837732747311882,128.2135271870053
AMAC_K06,LEFT,1,1,7,2.395741955785004e-06,-0.0004481731827774929,-0.18495810815915273,129.04837879631663
AMAC_K06,LEFT,1,1,8,4.211027398999622e-06,-0.0007900421857877811,-0.11846507597829455,65.45495489922361
AMAC_K06,LEFT,1,1,9,4.251016779823914e-06,-0.0007976365638313817,-0.11808477440343404,65.07769954939828
AMAC_K06,LEFT,1,1,10,4.588983993815709e-06,-0.0008606837427438576,-0.12013017920980101,67.16731810490734
AMAC_K06,LEFT,1,1,11,4.6347485907519714e-06,-0.0008695968519548235,-0.11944309876885144,66.3763120234201
AMAC_K06,LEFT,1,1,12,6.124082978877923e-06,-0.0011490632953596982,-0.1217034102099252,67.42994631844542
AMAC_K06,LEFT,1,1,13,6.156045096238738e-06,-0.0011549822175250435,-0.1210286596418461,67.06964224425256
