AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_C01,LEFT,1,2,9,7.910963547060779e-06,-0.0007919554466227335,-0.12322564843967868,67.0550677939437
AMAC_C01,LEFT,1,2,10,8.550151079449479e-06,-0.0008552578544718028,-0.12612109428053056,69.37518166764544
AMAC_C01,LEFT,1,2,11,8.627038898341973e-06,-0.0008631819356324951,-0.1251014467476429,68.48665591130163
AMAC_C01,LEFT,1,2,12,1.1260357041531993e-05,-0.001125218825117488,-0.12732450663943684,71.38434156625281
AMAC_C01,LEFT,1,2,13,1.1365662198666097e-05,-0.0011358321115959992,-0.12707401843928906,70.321700429323
AMAC_C01,LEFT,1,2,14,1.1954184297100397e-05,-0.0011945938277688043,-0.12644181199205848,71.22206284725186
AMAC_C01,LEFT,1,2,15,1.2036014102215606e-05,-0.0012029819973478492,-0.12706260184859952,71.15224898703336
AMAC_C01,LEFT,1,3,0,3.46835402477155e-08,-3.1501725382502763e-06,-0.11067965216423531,200.00029923742363
AMAC_C01,LEFT,1,3,1,1.0547367702792525e-07,-1.006459034655645e-05,-0.11137493995000794,4.81592072908446e-08
AMAC_C01,LEFT,1,3,2,7.99143625821705e-07,-7.685525879382529e-05,-0.11826563398164405,100.13569840998362
AMAC_C01,LEFT,1,3,3,8.775319889329417e-07,-8.435770874189539e-05,-0.12118578344567572,61.28426869598499
AMAC_C01,LEFT,1,3,4,3.74705169721503e-06,-0.00035953960504490304,-0.12187957349880778,66.87055406419641
AMAC_C01,LEFT,1,3,5,3.820981293302643e-06,-0.00036665924630395794,-0.1212156020043389,66.51935173007949
AMAC_C01,LEFT,1,3,6,4.50462014649333e-06,-0.0004323339196845824,-0.12191739547097682,67.20936639536036
AMAC_C01,LEFT,1,3,7,4.568882222623767e-06,-0.0004381524253881189,-0.12214560643542953,67.89821434566572
AMAC_C01,LEFT,1,3,8,8.156756317178512e-06,-0.0007813399811135403,-0.1244373899352575,68.82382362536192
AMAC_C01,LEFT,1,3,9,8.243802263249583e-06,-0.0007899203319384054,-0.12520011433453673,68.80860623646856
AMAC_C01,LEFT,1,3,10,8.925420448084535e-06,-0.0008550078835035405,-0.1253210909630628,69.20609829585328
AMAC_C01,LEFT,1,3,11,9.002427813122079e-06,-0.0008625109517188278,-0.126729113893047,69.8173696422517
AMAC_C01,LEFT,1,3,12,1.1833589611347896e-05,-0.001133961205749068,-0.12624456893465522,69.61057581803504
AMAC_C01,LEFT,1,3,13,1.1882725895041471e-05,-0.0011388184187485525,-0.12722308738057503,70.78120361562036
AMAC_C01,LEFT,1,3,14,1.2594845405758616e-05,-0.0012073372494468884,-0.12720468118088554,69.94028648970176
AMAC_C01,LEFT,1,3,15,1.2658464486320603e-05,-0.001213276403805153,-0.12688903433704893,70.03563791673717
AMAC_C01,LEFT,2,0,0,4.087588589751252e-08,-3.1301858994855137e-06,-0.11831010473874733,756.0143942262773
AMAC_C01,LEFT,2,0,1,1.199527961367227e-07,-9.519988798594097e-06,-0.12031770532074498,1284.0521983927695
AMAC_C01,LEFT,2,0,2,9.492234969031185e-07,-7.651273313878123e-05,-0.11749868847027602,101.44967568741338
AMAC_C01,LEFT,2,0,3,1.041450481697999e-06,-8.386590798543652e-05,-0.11840917906442516,58.99766257735546
AMAC_C01,LEFT,2,0,4,4.454249569221462e-06,-0.000358540631220467,-0.12026917462035211,66.33161065924038
AMAC_C01,LEFT,2,0,5,4.542679426866468e-06,-0.0003655903860266362,-0.12044666869984214,66.34157920301013
AMAC_C01,LEFT,2,0,6,5.361743352556887e-06,-0.00043169098828194926,-0.12087209644394788,66.64603484795474
AMAC_C01,LEFT,2,0,7,5.454814542364066e-06,-0.0004394049534124292,-0.12079954987662966,66.5155110719035
AMAC_C01,LEFT,2,0,8,9.827465018841123e-06,-0.0007919393881603621,-0.122477936531259,65.126206971214
AMAC_C01,LEFT,2,0,9,9.872919828696168e-06,-0.0007953645847853424,-0.12157554665215545,65.38228167706674
AMAC_C01,LEFT,2,0,10,1.0703152317426955e-05,-0.000862308340568718,-0.12356631612666297,66.76862675783974
AMAC_C01,LEFT,2,0,11,1.0841869299270607e-05,-0.0008741591499797601,-0.12361061068784855,65.77009109004634
AMAC_C01,LEFT,2,0,12,1.4289931971897191e-05,-0.0011519671479867989,-0.12514880363067477,65.95298623776334
AMAC_C01,LEFT,2,0,13,1.4259031763289597e-05,-0.0011481602561550124,-0.1252147542138038,68.05672845922895
