AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMACREF1,LEFT,0,1,11,1.3510073967550653e-06,-0.0002212249347269847,-0.1,50.0
AMACREF1,LEFT,0,1,12,1.1300973554164431e-06,-0.0001847386790898061,-0.1,50.0
AMACREF1,LEFT,0,1,13,1.5449513070682794e-06,-0.00025317245842515626,-0.1,50.0
AMACREF1,LEFT,0,1,14,1.015753793626052e-06,-0.00016585794674898774,-0.1,50.0
AMACREF1,LEFT,0,1,15,1.2013368876954953e-06,-0.00019649064088789173,-0.1,50.0
AMACREF1,LEFT,0,2,0,2.517394446617091e-08,5.319385266166447e-06,-7.171131386936684,49.325428507060906
AMACREF1,LEFT,0,2,1,3.202056171277109e-08,6.4686960036615425e-06,-7.847971378662307,64.66975653493006
AMACREF1,LEFT,0,2,2,7.178873926455645e-07,-7.17258288553101e-05,-0.1,50.0
AMACREF1,LEFT,0,2,3,7.639947602287714e-07,-7.629176967716635e-05,-0.1,50.0
AMACREF1,LEFT,0,2,4,1.5747959121316845e-06,-0.00015606435948095865,-0.1,50.0
AMACREF1,LEFT,0,2,5,1.525730555875218e-06,-0.00015108283677239104,-0.1,50.0
AMACREF1,LEFT,0,2,6,1.4834913880816959e-06,-0.00014665857670844449,-0.1,50.0
AMACREF1,LEFT,0,2,7,1.4945372744422926e-06,-0.00014771827800478277,-0.1,50.0
AMACREF1,LEFT,0,2,8,1.1654217999616052e-06,-0.00011478707801141434,-0.1,50.0
AMACREF1,LEFT,0,2,9,1.941144689463296e-13,1.7445266525562377e-06,-0.09999999999875217,50.0
AMACREF1,LEFT,0,2,10,1.1885548982797888e-06,-0.00011710738090535914,-0.1,50.0
AMACREF1,LEFT,0,2,11,1.640273536499297e-06,-0.00016227787588295178,-0.1,50.0
AMACREF1,LEFT,0,2,12,6.064579831422876e-07,-5.889945332165485e-05,-0.1,50.0
AMACREF1,LEFT,0,2,13,1.941144689463296e-13,1.7445266525562377e-06,-0.09999999999875217,50.0
AMACREF1,LEFT,0,2,14,1.941144689463296e-13,1.7445266525562377e-06,-0.09999999999875217,50.0
AMACREF1,LEFT,0,2,15,1.941144689463296e-13,1.7445266525562377e-06,-0.09999999999875217,50.0
AMACREF1,LEFT,0,3,0,2.5266384016721955e-08,-8.680104340247485e-06,6.969912706627541,48.852516962787874
AMACREF1,LEFT,0,3,1,1.9652807819415883e-08,-7.107540241722744e-06,6.9618056829977695,47.34575325023514
AMACREF1,LEFT,0,3,2,7.543908243330668e-07,2.9431655732753876e-05,-101.5118906644789,110.50120789462005
AMACREF1,LEFT,0,3,3,8.340066100999814e-07,-4.266658713428263e-06,-75.42601909211632,100.0786355450189
AMACREF1,LEFT,0,3,4,1.8287727690739947e-08,-2.1204042885315432e-05,21.11073578688851,51.80341104135757
AMACREF1,LEFT,0,3,5,1.7284671532212522e-08,5.0101466176402324e-05,-50.10009999987088,50.000020952351946
AMACREF1,LEFT,0,3,6,1.833238114625162e-08,-7.068416207969304e-06,6.979710018023894,52.36836949549271
AMACREF1,LEFT,0,3,7,1.5325902796310255e-08,-1.9669907083120273e-05,19.856234520621943,47.366833498779926
AMACREF1,LEFT,0,3,12,1.3489261741628602e-08,-4.9437290153225964e-05,49.81013719925886,47.00196651975408
AMACREF1,LEFT,0,3,14,6.6710289368637556e-09,-5.966199440046595e-06,6.970531362397872,49.06228308416963
AMACREF1,LEFT,1,0,0,2.960535531051348e-08,-8.423663956757018e-06,6.777170951003143,48.62036216180154
AMACREF1,LEFT,1,0,1,2.3965254066890084e-08,-4.996463641323429e-05,49.810882768174736,47.0144043644476
AMACREF1,LEFT,1,0,2,1.2329944968139037e-07,-6.373997269387244e-05,55.41308063760799,102.03069878997613
AMACREF1,LEFT,1,0,3,1.930900690746856e-07,-6.978084714664186e-05,55.782785755499376,46.238232894754056
AMACREF1,LEFT,1,0,4,2.2455206364727935e-08,4.999969662160698e-05,-50.09046240395553,0.07992741898900846
AMACREF1,LEFT,1,0,5,9.046062306547744e-09,5.548403944619944e-05,-54.5514074924585,50.88127805194128
AMACREF1,LEFT,1,0,6,2.8775533616003264e-09,5.150979635807014e-05,-50.09135099593134,50.9353211208336
AMACREF1,LEFT,1,0,7,2.127478279699038e-09,5.1747384194861544e-05,-50.27021584183845,37.469019700322804
AMACREF1,LEFT,1,0,8,2.6858778140697325e-12,1.7443445934071317e-06,-0.10000000000000007,50.0
AMACREF1,LEFT,1,0,11,1.3190707954497896e-08,7.768474334251082e-06,-7.171774884223992,49.99999999999994
AMACREF1,LEFT,1,0,12,2.3265509446696943e-13,1.744525620863051e-06,-0.10000000000003394,50.0
