AMAC,Channel,BandgapControl,RampGain,m,b
AMACREF1,CH0_R,2,1,0.0007759169869696018,-0.026461825815783734
AMACREF1,CH0_R,2,2,0.0013417992502576556,-0.02722457168079415
AMACREF1,CH0_R,2,3,0.0014139040131760112,-0.02733727998893118
AMACREF1,CH0_R,3,0,0.0017063448923625088,-0.027749658815566968
AMACREF1,CH0_R,3,1,0.0007642372251488826,-0.025678442666058173
AMACREF1,CH0_R,3,2,0.0013206806639717132,-0.026301676555951576
AMACREF1,CH0_R,3,3,0.0013912472877521116,-0.026129863774961397
AMACREF1,CH0_R,4,0,0.001674487797439265,-0.026744941827895895
AMACREF1,CH0_R,4,1,0.0007528323885777706,-0.025187348006508136
AMACREF1,CH0_R,4,2,0.0012992916368315425,-0.025290557527572668
AMACREF1,CH0_R,4,3,0.0013690502674585372,-0.02567143274657644
AMACREF1,CH0_R,5,0,0.001640668602216077,-0.02580242457564875
AMACREF1,CH0_R,5,1,0.0007394557700046,-0.024314383571487328
AMACREF1,CH0_R,5,2,0.0012767195189698748,-0.024775819710101996
AMACREF1,CH0_R,5,3,0.0013437650064752093,-0.02470626040499935
AMACREF1,CH0_R,6,0,0.0016046480248668733,-0.024779336537115535
AMACREF1,CH0_R,6,1,0.0007265759142742043,-0.023678677850187475
AMACREF1,CH0_R,6,2,0.0012493338415344346,-0.023593234343512647
AMACREF1,CH0_R,6,3,0.001315464428247687,-0.023811524314226718
AMACREF1,CH0_R,7,0,0.0015665969901597135,-0.02346359762247147
AMACREF1,CH0_R,7,1,0.0007110871917638,-0.022606478306320586
AMACREF1,CH0_R,7,2,0.0012209120210229102,-0.02265832723602622
AMACREF1,CH0_R,7,3,0.0012854047567411426,-0.022759760538573624
AMACREF1,CH0_R,8,0,0.0015292371466619822,-0.022501848438556946
AMACREF1,CH0_R,8,1,0.0006945477528769476,-0.021767730508536465
AMACREF1,CH0_R,8,2,0.0011908086211299463,-0.02165216886017935
AMACREF1,CH0_R,8,3,0.0012535188001299303,-0.021658060917567883
AMACREF1,CH0_R,9,0,0.0014918209701355457,-0.02150476837734178
AMACREF1,CH0_R,9,1,0.0006767295009769749,-0.020585315347474462
AMACREF1,CH0_R,9,2,0.001161301976721086,-0.020370890486256905
AMACREF1,CH0_R,9,3,0.0012230830503299134,-0.02054583651060161
AMACREF1,CH0_R,10,0,0.0014545789277720697,-0.020025548849033507
AMACREF1,CH0_R,10,1,0.0006600423287961975,-0.019620352564093196
AMACREF1,CH0_R,10,2,0.001131996587808749,-0.019244674950891848
AMACREF1,CH0_R,10,3,0.0011926772427718296,-0.019509487028472113
